2026-02-14 00:31:53,265 | INFO | uvicorn.access | 127.0.0.1:49682 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:31:54,306 | INFO | uvicorn.access | 127.0.0.1:49682 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:48:56,554 | INFO | uvicorn.access | 127.0.0.1:52099 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:48:57,217 | INFO | uvicorn.access | 127.0.0.1:53100 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:48:57,218 | INFO | uvicorn.access | 127.0.0.1:62525 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:48:57,219 | INFO | uvicorn.access | 127.0.0.1:65466 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:49:03,332 | INFO | uvicorn.access | 127.0.0.1:57917 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:49:03,539 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:49:03,567 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:49:03,622 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:49:05,503 | INFO | uvicorn.access | 127.0.0.1:57917 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:49:06,032 | INFO | uvicorn.access | 127.0.0.1:55767 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:49:14,111 | INFO | uvicorn.access | 127.0.0.1:56746 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&roles=sale&roles=staff&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:49:16,041 | INFO | uvicorn.access | 127.0.0.1:51990 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:49:16,050 | INFO | uvicorn.access | 127.0.0.1:51990 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:49:22,203 | INFO | uvicorn.access | 127.0.0.1:60059 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&roles=sale&roles=staff&roles=manager&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:49:27,339 | INFO | uvicorn.access | 127.0.0.1:58347 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:49:27,895 | INFO | uvicorn.access | 127.0.0.1:58347 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:49:27,897 | INFO | uvicorn.access | 127.0.0.1:59473 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:49:29,879 | INFO | uvicorn.access | 127.0.0.1:58448 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=sale&roles=staff&roles=manager&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:49:39,898 | INFO | uvicorn.access | 127.0.0.1:62166 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:49:39,899 | INFO | uvicorn.access | 127.0.0.1:56976 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:49:39,909 | INFO | uvicorn.access | 127.0.0.1:52697 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:50:35,501 | INFO | uvicorn.access | 127.0.0.1:62564 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:50:36,158 | INFO | uvicorn.access | 127.0.0.1:62564 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:50:36,438 | INFO | uvicorn.access | 127.0.0.1:64220 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:50:36,443 | INFO | uvicorn.access | 127.0.0.1:64220 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:50:36,467 | INFO | uvicorn.access | 127.0.0.1:64220 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:50:41,343 | INFO | uvicorn.access | 127.0.0.1:62564 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:50:41,595 | INFO | uvicorn.access | 127.0.0.1:49859 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:50:41,603 | INFO | uvicorn.access | 127.0.0.1:49859 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:50:41,628 | INFO | uvicorn.access | 127.0.0.1:49859 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:50:43,477 | INFO | uvicorn.access | 127.0.0.1:62564 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:50:44,513 | INFO | uvicorn.access | 127.0.0.1:49859 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
